platform,country_code,region,language,category,hashtag,title_keywords,author_handle,sound_type,music_track,week_of_year,duration_sec,views,likes,comments,shares,saves,device_type,upload_hour,genre,trend_duration_days,trend_type,engagement_velocity,dislikes,comment_ratio,share_rate,save_rate,like_dislike_ratio,publish_dayofweek,publish_period,event_season,tags,creator_avg_views,creator_tier,season,publish_date_approx,year_month,title,title_length,has_emoji,avg_watch_time_sec,completion_rate,device_brand,traffic_source,is_weekend,engagement_total,like_rate,dislike_rate,engagement_per_1k,country_name,publish_month,publish_month_name,publish_day,publish_year
Tiktok,US,North America,en,Food,#Travel,Hidden Gems of New York,ProJiwoo,licensed,Sizzle ASMR,1,26,27099,1868,257,218,306,iOS,21,Travel,19,Medium,1426.26,51,0.009484,0.008045,0.011292,35.923077,Sunday,Evening,SummerBreak,"food tour, guide, hidden gems",86079.6,Mid,Summer,2025-01-05,2025-01,24 Hours in Istanbul 🧠,22,1,20.2,0.777,Pixel,ForYou,1,2649,0.068932,0.001882,97.753,United States,1,January,5,2025
Tiktok,NG,Africa,en,Science,#FYP,I tried making Sushi,LiamOfficial,original,Lab beeps,1,15,15030,1316,134,110,82,Android,14,Food,6,Short,2505.0,42,0.008916,0.007319,0.005456,30.604651,Sunday,Afternoon,BackToSchool,"recipe, kitchen, street food",82810.8,Mid,Fall,2025-01-05,2025-01,I tried making Tacos ✨,22,1,12.7,0.847,Vivo,ForYou,1,1642,0.087558,0.002794,109.248,Nigeria,1,January,5,2025
Tiktok,SE,Europe,sv,News,#HiddenGems,Street Food Tour in Cairo,AyakaPro,trending,Ambient pulse,1,10,42688,1589,217,102,100,Android,12,Travel,31,Evergreen,1377.03,40,0.005083,0.002389,0.002343,38.756098,Wednesday,Afternoon,Regular,"guide, hidden gems, food tour",139280.8,Mid,Spring,2025-01-01,2025-01,Street Food Tour — Istanbul,27,0,5.7,0.57,Oppo,ForYou,0,2008,0.037224,0.000937,47.039,Sweden,1,January,1,2025
Tiktok,RU,Europe,ru,Travel,#FYP,Street Food Tour in New York,NoahTV,original,City stroll,1,32,93351,3150,480,282,265,iOS,18,Travel,3,Short,31117.0,65,0.005142,0.003021,0.002839,47.727273,Friday,Evening,Regular,"travel, vlog, food tour, hidden gems, guide",98910.3,Mid,Spring,2025-01-03,2025-01,24 Hours in New York,20,0,18.2,0.569,Samsung,ForYou,1,4177,0.033744,0.000696,44.745,Russian Federation,1,January,3,2025
Tiktok,MA,Africa,ar,Comedy,#Foodie,5-Minute Croissant,DailyVlogsFatma,trending,Quirky jingle,1,27,124440,7873,716,927,1648,iOS,12,Food,7,Short,17777.14,313,0.005754,0.007449,0.013243,25.073248,Sunday,Afternoon,Regular,"fast, food, street food, kitchen, recipe",150519.5,Mid,Winter,2025-01-05,2025-01,I tried making Koshari 📱,24,1,21.5,0.796,Other,ForYou,1,11164,0.063267,0.002515,89.714,Morocco,1,January,5,2025
Tiktok,NG,Africa,en,Science,#StreetFood,Is Koshari worth the hype?,OmarYT,licensed,Lab beeps,1,19,122743,7707,538,694,593,Android,20,Food,4,Short,30685.75,39,0.004383,0.005654,0.004831,192.675,Saturday,Evening,SummerBreak,"food, fast, kitchen",92903.0,Mid,Summer,2025-01-04,2025-01,I tried making Kunafa 🏖️,24,1,14.0,0.737,Samsung,Following,1,9532,0.06279,0.000318,77.658,Nigeria,1,January,4,2025
Tiktok,SA,Asia,ar,Travel,#Travel,Street Food Tour in New York,DanceWithAli,trending,City stroll,1,16,86489,6173,898,562,665,iOS,21,Travel,7,Short,12355.57,68,0.010383,0.006498,0.007689,89.463768,Friday,Evening,HolidaySeason,"food tour, vlog, travel, guide",89974.2,Mid,Winter,2025-01-03,2025-01,Hidden Gems of Istanbul,23,0,8.1,0.506,iPhone,ForYou,1,8298,0.071373,0.000786,95.943,Saudi Arabia,1,January,3,2025
Tiktok,MX,North America,es,Gaming,#StreetFood,I tried making Croissant,AvaPro,licensed,8bit loop,1,24,79456,5335,849,630,406,iOS,14,Food,7,Short,11350.86,114,0.010685,0.007929,0.00511,46.391304,Sunday,Afternoon,HolidaySeason,"fast, food, recipe, street food",105585.7,Mid,Winter,2025-01-05,2025-01,Street Tacos Taste Test 🎯,25,1,17.2,0.717,Samsung,ForYou,1,7220,0.067144,0.001435,90.868,Mexico,1,January,5,2025
Tiktok,RU,Europe,ru,Gaming,#Wanderlust,24 Hours in Dubai,LinaVlogs,trending,Trap beat,1,23,213769,11065,1137,1304,1308,Android,14,Travel,5,Short,42753.8,207,0.005319,0.0061,0.006119,53.197115,Wednesday,Afternoon,SummerBreak,"food tour, guide, hidden gems, travel, vlog",114010.2,Mid,Summer,2025-01-01,2025-01,Hidden Gems of Tokyo,20,0,12.5,0.543,Samsung,ForYou,0,14814,0.051761,0.000968,69.299,Russian Federation,1,January,1,2025
Tiktok,MX,North America,es,News,#Foodie,I tried making Sushi,TrueStudio,original,Neutral piano,1,31,11171,1121,110,97,69,iOS,20,Food,5,Short,2234.2,28,0.009847,0.008683,0.006177,38.655172,Wednesday,Evening,Regular,"recipe, fast, kitchen",95967.2,Mid,Winter,2025-01-01,2025-01,Street Croissant Taste Test 🎵,29,1,23.5,0.758,Xiaomi,ForYou,0,1397,0.100349,0.002506,125.056,Mexico,1,January,1,2025
